French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
sur-le-champ,немедленно; тут же,adv,Il a été renvoyé <b>sur-le-champ</b>.,Его уволили <b>на месте</b>.,Immédiatement. Formel.,⚡,temps
d'ici,к (времени); до,prep,"<b>D'ici</b> la fin de la semaine, tout sera prêt.",<b>К</b> концу недели всё будет готово.,Délai limite.,📅,temps
d'ici peu,вскоре; в скором времени,adv,"<b>D'ici peu</b>, les travaux seront terminés.",<b>Вскоре</b> работы будут завершены.,Futur proche.,⏳,temps
en attendant,тем временем; пока,adv,"<b>En attendant</b>, prenez un café.",<b>Пока</b> выпейте кофе.,Pendant ce temps.,☕,temps
entre-temps,тем временем; между тем,adv,"<b>Entre-temps</b>, j'ai changé d'avis.",<b>Тем временем</b> я передумал.,Pendant cette période.,⏳,temps
à partir de,начиная с,prep,"<b>À partir de</b> lundi, je serai en vacances.",<b>Начиная с</b> понедельника я буду в отпуске.,Point de départ temporel.,📅,temps
jusqu'à,до,prep,Je travaille <b>jusqu'à</b> 18h.,Я работаю <b>до</b> 18:00.,Point final temporel.,📅,temps
après,после,prep,"<b>Après</b> le dîner, on regardera un film.",<b>После</b> ужина посмотрим фильм.,Postériorité.,⏩,temps
lors de,во время; при,prep,"<b>Lors de</b> mon voyage, j'ai rencontré des gens incroyables.",<b>Во время</b> путешествия я встретил удивительных людей.,Moment précis. Formel. TEF B2.,📅,temps
dès que,как только,conj,"<b>Dès que</b> possible, envoyez-moi le rapport.","<b>Как только</b> возможно, пришлите мне отчёт.",Immédiatement après. + indicatif (futur en français!).,⚡,temps
aussitôt que,как только,conj,"<b>Aussitôt que</b> tu arrives, appelle-moi.","<b>Как только</b> приедешь, позвони.",Synonyme de dès que.,⚡,temps
une fois que,как только; после того как,conj,"<b>Une fois que</b> tu auras fini, on pourra partir.","<b>После того как</b> закончишь, сможем уйти.",Après completion.,✅,temps
du coup,поэтому; в итоге,adv,"Il pleuvait, <b>du coup</b> on est restés.","Шёл дождь, <b>поэтому</b> мы остались.",Oral. Très fréquent au Québec et en France. Familier.,💬,fillers_formules
en fait,на самом деле; вообще-то,adv,"<b>En fait</b>, je ne suis pas d'accord.",<b>На самом деле</b> я не согласен.,Oral/écrit. Correction ou précision. Très courant!,💡,fillers_formules
en gros,в общем; грубо говоря,adv,"<b>En gros</b>, le projet coûte 10 000 euros.","<b>Грубо говоря</b>, проект стоит 10 000 евро.",Oral. Résumé approximatif.,📊,fillers_formules
genre,типа; как бы,adv,C'était <b>genre</b> super difficile.,Это было <b>типа</b> очень сложно.,Oral. Très familier. Jeunes.,🗣️,fillers_formules
quoi,ну; типа (filler),interj,"C'est compliqué, <b>quoi</b>.","Это сложно, <b>ну</b>.",Oral. Filler en fin de phrase. Familier.,💬,fillers_formules
bon,ну; ладно,interj,"<b>Bon</b>, on y va ?","<b>Ну</b>, идём?",Oral. Transition ou impatience.,👍,fillers_formules
ben,ну,interj,"<b>Ben</b>, je sais pas.","<b>Ну</b>, не знаю.",Oral. Très familier. = bien.,🤷,fillers_formules
eh bien,ну что ж; итак,interj,"<b>Eh bien</b>, commençons !","<b>Ну что ж</b>, начнём!",Oral/écrit. Transition.,💬,fillers_formules
voilà,вот; вот так,interj,"J'ai fini, <b>voilà</b>.","Я закончил, <b>вот</b>.",Oral. Conclusion ou confirmation. Très courant!,✅,fillers_formules
tu vois,понимаешь; видишь ли,expr,"C'est compliqué, <b>tu vois</b>.","Это сложно, <b>понимаешь</b>.",Oral. Filler pour vérifier compréhension.,👀,fillers_formules
tu sais,знаешь,expr,"<b>Tu sais</b>, je pense que tu as raison.","<b>Знаешь</b>, я думаю, ты прав.",Oral. Filler. Québec: t'sé.,💬,fillers_formules
comment dire,как сказать,expr,C'est <b>comment dire</b>... délicat.,Это <b>как сказать</b>... деликатно.,Oral. Hésitation.,🤔,fillers_formules
disons,скажем так,expr,<b>Disons</b> que c'est compliqué.,"<b>Скажем так</b>, это сложно.",Oral. Approximation/hésitation.,💭,fillers_formules
enfin (filler),ну; в смысле,adv,"C'était intéressant, <b>enfin</b>, je crois.","Это было интересно, <b>ну</b>, я думаю.",Oral. Correction/hésitation. ⚠️ Другое значение: enfin = наконец (connecteur).,💬,fillers_formules
quand même,всё-таки; всё же,adv,C'est <b>quand même</b> bizarre.,Это <b>всё-таки</b> странно.,Oral/écrit. Insistance ou concession.,❗,fillers_formules
justement,как раз; именно,adv,"<b>Justement</b>, j'allais te le dire.",<b>Как раз</b> собирался тебе это сказать.,Coïncidence ou confirmation.,💡,fillers_formules
effectivement,действительно; да,adv,"<b>Effectivement</b>, tu as raison.","<b>Действительно</b>, ты прав.",Confirmation. Oral/écrit.,✅,fillers_formules
absolument,безусловно; конечно,adv,"<b>Absolument</b>, je suis d'accord.","<b>Безусловно</b>, я согласен.",Accord fort.,💯,fillers_formules
exactement,именно; точно,adv,"<b>Exactement</b>, c'est ce que je voulais dire.","<b>Именно</b>, это то, что я хотел сказать.",Accord précis.,🎯,fillers_formules
tout à fait,совершенно; полностью,adv,Je suis <b>tout à fait</b> d'accord.,Я <b>полностью</b> согласен.,Accord total. Poli.,✅,fillers_formules
pas du tout,вовсе нет; совсем нет,adv,— Tu es fatigué ? — <b>Pas du tout</b>.,— Ты устал? — <b>Вовсе нет</b>.,Négation forte.,❌,fillers_formules
pas vraiment,не совсем,adv,— Tu aimes ça ? — <b>Pas vraiment</b>.,— Тебе нравится? — <b>Не совсем</b>.,Négation atténuée.,🤷,fillers_formules
je vous en prie,пожалуйста (в ответ),expr,— Merci ! — <b>Je vous en prie</b>.,— Спасибо! — <b>Пожалуйста</b>.,Formel. Réponse à merci.,🙏,fillers_formules
de rien,не за что,expr,— Merci ! — <b>De rien</b>.,— Спасибо! — <b>Не за что</b>.,Réponse à merci. Courant.,😊,fillers_formules
il n'y a pas de quoi,не за что,expr,— Merci beaucoup ! — <b>Il n'y a pas de quoi</b>.,— Большое спасибо! — <b>Не за что</b>.,Réponse à merci. Plus formel.,🙏,fillers_formules
avec plaisir,с удовольствием,expr,— Tu peux m'aider ? — <b>Avec plaisir</b>.,— Можешь помочь? — <b>С удовольствием</b>.,Acceptation polie.,😊,fillers_formules
volontiers,охотно; с удовольствием,adv,— Un café ? — <b>Volontiers</b>.,— Кофе? — <b>Охотно</b>.,Acceptation. Formel/poli.,☕,fillers_formules
je vous prie de,прошу вас,expr,<b>Je vous prie de</b> bien vouloir m'excuser.,<b>Прошу вас</b> меня извинить.,Très formel. Correspondance officielle.,📧,fillers_formules
veuillez,пожалуйста (просьба),v,<b>Veuillez</b> patienter quelques instants.,"<b>Пожалуйста</b>, подождите немного.",Formel. Impératif de vouloir.,📋,fillers_formules
je vous serais reconnaissant de,был бы признателен если бы,expr,<b>Je vous serais reconnaissant de</b> me répondre rapidement.,"<b>Был бы признателен</b>, если бы вы ответили быстро.",Très formel. Correspondance.,📧,fillers_formules
je me permets de,позволю себе,expr,<b>Je me permets de</b> vous contacter au sujet de...,<b>Позволю себе</b> связаться с вами по поводу...,Formel. Début de lettre/email.,📧,fillers_formules
suite à,в связи с; после,prep,"<b>Suite à</b> notre conversation, je vous envoie le document.","<b>В связи с</b> нашим разговором, отправляю вам документ.",Formel. Correspondance.,📧,fillers_formules
dans l'attente de,в ожидании,prep,"<b>Dans l'attente de</b> votre réponse, je vous prie d'agréer...","<b>В ожидании</b> вашего ответа, прошу принять...",Formule de politesse. Fin de lettre.,📧,fillers_formules
veuillez agréer,прошу принять (формула вежливости),expr,<b>Veuillez agréer</b> l'expression de mes salutations distinguées.,<b>Прошу принять</b> выражение моего глубокого уважения.,Formule finale. Très formel.,📧,fillers_formules
cordialement,с уважением,adv,"Merci d'avance, <b>cordialement</b>.","Заранее спасибо, <b>с уважением</b>.",Fin d'email. Semi-formel.,📧,fillers_formules
bien à vous,с уважением,expr,"<b>Bien à vous</b>, Marie.","<b>С уважением</b>, Мари.",Fin d'email. Poli mais pas trop formel.,📧,fillers_formules
n'hésitez pas à,не стесняйтесь; обращайтесь,expr,<b>N'hésitez pas à</b> me contacter si vous avez des questions.,"<b>Не стесняйтесь</b> обращаться, если есть вопросы.",Invitation à l'action. Courant.,📞,fillers_formules
je reste à votre disposition,остаюсь в вашем распоряжении,expr,<b>Je reste à votre disposition</b> pour tout renseignement.,<b>Остаюсь в вашем распоряжении</b> для любой информации.,Formel. Fin de lettre/email.,📋,fillers_formules
